"","pNum","0.5","1","1.5","2"
"1",1,1.17,1.49999998166667,0.971999906666667,3.41052621052632
"2",2,1.8239999424966,2.19093748695632,3.98142855157432,4.16400002488758
"3",3,2.67750001548831,3.56120689637931,5.10449999026582,5.97449999941886
"4",4,2.28000001501292,3.12677422368123,3.3762857159621,3.44250000060959
"5",5,2.96756756952032,3.68117647058824,4.35413793491328,4.68310344876143
"6",6,2.59800000315905,3.87339622641509,4.86149999856949,5.0415254232742
"7",7,3.69,3.901875,4.54728813259278,4.95964285892857
"8",8,2.58954542356945,3.91000001173849,5.90499987518841,6.84333331430724
"9",9,1.74,2.817,2.52749995833333,2.81347825652174
"10",10,0.935357200218667,2.11153845179874,2.54210526513426,2.88160714888014
"11",11,2.31954545946792,2.64638296531593,3.85527277303944,4.99584904915811
"12",12,2.06205883072799,3.10411764449166,3.46581817661226,3.76105264173134
"13",13,3.0239999506765,3.4869230956792,3.6600000024176,3.94690908761881
"14",14,3.24947361048641,3.82339281648924,5.35576268754628,5.5055173227649
"15",15,1.73423087215409,3.34883731280908,3.6533333621143,4.88618180528283
"16",16,2.82176470588235,3.10500000854954,3.6427499975,3.63326086750983
"17",17,2.0185714149688,2.5936363605884,3.04200000284506,3.33782607563731
"18",18,2.81250000261935,3.33750005025649,2.97782608262344,3.5910000060685
"19",19,2.7315000675,3.41999998449418,4.60067780847458,5.51440679813312
